Name,Style,ABV,Bottle_Size,Price
#MASHTAG 2014,Amber / Red Ale,9.0,330ml,2.7
5AM SAINT,Amber / Red Ale,5.0,330ml,1.8
ABSTRAKT AB:14,Wheat Beer,10.2,375ml,10.0
ABSTRAKT AB:16,Belgian Style Ale,10.6,375ml,10.0
BLACK EYED KING IMP,Stout,11.8,330ml,14.0
BLACK JACQUES,Belgian Style Ale,11.1,330ml,12.0
BLACK TOKYO HORIZON,Stout,15.2,330ml,13.0
BRIXTON PORTER,Porter,5.0,330ml,1.95
CLOWN KING,Barley Wine / Barley Wine Style,12.0,330ml,3.95
COCOA PSYCHO,Stout,10.0,330ml,3.5
DEAD PONY CLUB,Pale Ale,3.8,330ml,1.7
DOG B,Stout,15.1,330ml,10.5
DOG C,Stout,15.1,330ml,10.5
DOGMA,Scotch Ale,7.4,330ml,2.6
ELECTRIC INDIA,Belgian Style Ale,6.5,330ml,2.6
EVERYDAY ANARCHY,Belgian Style Ale,10.3,330ml,11.0
FAKE LAGER,Lager / Pilsner,4.7,330ml,1.7
HARDCORE IPA,IPA,9.2,330ml,2.85
I HARDCORE YOU,IPA,9.5,330ml,3.25
JACK HAMMER,IPA,7.2,330ml,2.6
LIBERTINE BLACK ALE,Black Ale / Black IPA,7.2,330ml,2.5
MAGIC STONE DOG (W/ MAGIC ROCK & STONE),Pale Ale,5.0,330ml,2.6
MIX TAPE 8,IPA,14.5,330ml,12.0
PARADOX HEAVEN HILL,Stout,15.0,330ml,9.95
PUNK IPA,IPA,5.6,330ml,1.8
TOKYO*,Stout,16.5,330ml,9.95
U-BOAT (W/ VICTORY),Porter,8.4,330ml,3.5
VOTE SEPP,Wheat Beer,3.4,330ml,2.1
ZEITGEIST,Lager / Pilsner,4.9,330ml,1.7
